Z	L	D
ንዓይ፤ ሓደ ሙሉእ ታሪኽ ብክልተ ተለላ ግጥሚ ምግላፅ ዳርጋ ብመንቀርቆዖ ምሕላፍ እዩ።	ልኣየ፤ ሓደ ሙሉእ ታሪኽ ብኽልተ ተለላ ግጥሚ ምግላፅ ዳርጋ ብመንቀርቆዖ ምሕላፍ እዩ።	ድኣነ፤ ሓደ ሙሉእ ታሪኽ ብኽልተ ተለላ ግጥሚ ምግላፅ ዳርጋ ብመንቀራቆዕ ምሕላፍ ይኡ ።
ግጥሚ...ሓሳብ ናብ ሓደ ፍረ-ነገር ናይምጥቕላል ክእለት ዝደሊ ረቂቕ እዩ።	ግጥሚ...ሓሳብ ላብ ሓደ ፍረ-ነገር ናምጥቕላል ኽእለት ልደሊ ረቂቕ እዩ።	ግጥሚ...ሓሳብ ዳብ ሓደ ፍረ-ነገር ናምጥቕላል ኽእለት ድደሊ ረቂቕ ይኡ ።
ስለዝኾነ ግጥሚ ንምፅሓፍ አይደፍርን።	ስለልኾነ ግጥሚ ልምፅሓፍ አይደፍርይ።	ስለድኾነ ግጥሚ ድምፅሓፍ አይደፍርይ።
ትህንቀው ክተግኒ ቲ ናይቀደም ፍቕሪ	ትህንቀው ህተግኒ ቱ ናቐደም ፍቕሪ	ትህንቀው ህተግኒ ቲ ናቓደም ፍቕሪ
ቆልዓ ምስወለደት ስኢና ሓባሪ።	ቖልዓ ብልወለደት ስኢና ሓባሪ።	ቖልዓ ብድወለደት ስእናሓባሪ።
ኣነ ካብ ብግጥሚ ብስዲ-ፅሑፍ ሓሳበይ ተዘቕምጥ ይቐለኒ።	ኣነ ካብ ብግጥሚ ብስዲ-ፅሑፍ ሓሳበይ ተተቕምጥ ይቐለኒ።	ኣነ ካ ብግጥሚ ብስዲ-ፅሑፍ ሓሳበይ ምቕማጥ ይቐለኒ።
ግጥሚ ግን ከቢድ እዩ።	ግጥሚ ግና ኻቢድ እዩ።	ግጥሚ ግና ኻቢድ ይኡ ።
ብስዲ ፅሑፍ ናይሓሳብ ፍሰት ጥራሕ እዩ ዝደሊ፤ ግጥሚ ግን ርቕቕ ዝበለ እዩ።	ብስዲ ፅሑፍ ናሓሳብ ፍሰት ጥራሕ እዩ ልደሊ፤ ግጥሚ ግና ርቕቕ ልበለ እዩ።	ብስዲ ፅሑፍ ናሓሳብ ፍሰት ጥራሕ ይኡ ድደሊ፤ ግጥሚ ግና ርቕቕ ድበለ ይኡ ።
ዋላ ግጥሚ እኳ እንተፃሓፍኩ ብሓፂር ግጥሚ ንእሽተይ መልእኽቲ ምሕላፍ ተዘይኮይኑ ነዊሕ ግጥሚ ብዙሕ ኣይኮንኩን።	ዋላ ግጥሚ እኳ ተፃሓፍኹ ብሓፂር ግጥሚ ንእሽተይ መልእኽቲ ምሕላፍ ተለይኾይኑ ነዊሕ ግጥሚ ብዙሕ የኾንኹይ።	ዋላ ግጥሚ እኳ ተፃሓፍኹ ብሓጭር ግጥሚ ንእሽተይ መልእኽቲ ምሕላፍ ተደይኾይኑ ነዊሕ ግጥሚ ብዙሕ የኾንኹይ።
ነዊሕ ግጥሚ ናይ ምፅሓፍ ክእለት ኣይብለይን።	ነዊሕ ግጥሚ ናምፅሓፍ ኽእለት የብለይ።	ነዊሕ ግጥሚ ናምፅሓፍ ኽእለት ኣይብለይይ።
ኣብ ክልተ ግጥምታት ንውሕ ዝበለ ሓሳብ ክፅሕፍ ሞኪረ ሓሳብ ግና እናተወደአኒ…	ኣብ ኽልተ ግጥምታት ንውሕ ልበለ ሓሳብ ክፅሕፍ ሞኪረ ሓሳብ ግና ላተወደአኒ…	ኣብ ኽልተ ግጥምታት ንውሕ ድበለ ሓሳብ ክፅሕፍ ሞኪረ ሓሳብ ግና ዳትወደአኒ…
ፀሪፋትኒ ኢሉ፤ ሰያፍ ሕንፃፅ ይመስል እግርኻ	ፀሪፋትኒ ኢሉ፤ ሰያፍ ሕንፃፅ ይመስል እግርኻ	ፀርፋትኒ ውሉ፤ ሰያፍ ሕንፃፅ ይመስል እግርኻ
ፀሪፋትኒ ኢሉ፤ ትኹል ሕንፃፅ ይመስል ቅጥነትካ	ፀሪፋትኒ ኢሉ፤ ትኹል ሕንፃፅ ይመስል ቕጠንኻ	ፀርፋትኒ ውሉ፤ ትኹል ሕንፃፅ ይመስል ቕጥነትኻ
ፀሪፋትኒ ኢሉ፤ ገፅካ እውን ይመስል ሃሳስ ዝወጠኖ	ፀሪፋትኒ ኢሉ፤ ገፅኻለ ይመስል ሃሳስ ልወጠኖ	ፀርፋትኒ ውሉ፤ ገፅኻለ ይመስል ሃሳስ ድወጠኖ
ፀሪፋትኒ ኢሉ፤ ፀጉርኻ ይመስል ንፋስ ዝጣጠኖ	ፀሪፋትኒ ኢሉ፤ ጨጉርኻ ይመስል ንፋስ ልጣጠኖ	ፀርፋትኒ ውሉ፤ ጨጉርኻ ይመስል ንፋስ ድጣጠኖ
ፀሪፋትኒ ኢሉ፤ ከንፈርካ ይመስል ዝንቢ ዝዓረፎ	ፀሪፋትኒ ኢሉ፤ ምንጭርኻ ይመስል ዝንቢ ልዓረፎ	ፀርፋትኒ ውሉ፤ ምንጭርኻ ይመስል ዝንቢ ድዓረፎ
ሓርካፍ ሰብነትካ የሰክፍ ክትሓቅፎ።	ሓርካፍ ሰብነትኻ የሰክፍ ትሓቕፎ።	ሓርካፍ ሰውነትኻ ዳሰክፍ ትሓቕፎ።
ኢሉ መሊሱላ።	ኢሉ መሊሱላ።	ውሉ መልሱላ።
ሓደ ክልተ ድኽመት ኣይብሉን ኣበሳ	ሓደ ኽልተ ድኽመት የብሉይ ኣበሳ	ሓደ ኽልተ ድኽመት የውሉይ ኣበሳ
ሳልሳይ እግረይ እዩ ጥሒሳ ደርሚሳ።	ሳልሳይ እግረይ እዩ ጥሒሳ ደርሚሳ።	ሳልሳይ እግረይ ይኡ ጥሒሳ ደርሚሳ።
….ኣቦ…	….ኣቦ…	….ኣቦ…
ሱቕታኻ እንተመሰለ ናብራ ዘደንገፆ	ሱቕታኻ ተመሰለ ናብራ ለደንገፆ	ሱቕታኻ ተመሰለ ናብራ ዳደንገፆ
ገፅኻ እንተመሰለ ፀገም ዝጋሃፆ	ገፅኻ ተመሰለ ፀገም ልጋሃፆ	ገፅኻ ተመሰለ ፀገም ድጋሃፆ
የዋህ እንተመሰልካ ምንም ዘይፈልጥ	ለዋህ ተመሰልኻ ምንም ለይፈልጥ	ለዋህ ተመሰልኻ ምንም ደይፈልጥ
መንገዲ እናኣለሽካ ካብ ሽግር ክተምልጥ።	መንገዲ ላኣለሽኻ ካብ ሽግር ተምልጥ።	መንገዲ ዳኣለሽኻ ካ ሽግር ታምልጥ።
ፅዕነት ከቢዱካ ሑቀኻ ጎዊጡ	ፅዕነት ኻቢዱካ ሒቐኻ ገዊጡ	ፅዕነት ኻብዱካ ሕቐኻ ጎውጡ
ንውሽጢ ዓቍምኻ ርእስኻ መሊጡ	ልውሽጢ ዓቍምኻ ርእስኻ መሊጡ	ድውሽጢ ዓቍምኻ ርእስኻ መልጡ
መንገዲ እናርአዩኻ ካባኻ ዘይፈልጡ	መንገዲ ላርአዩኻ ካባኻ ለይፈልጡ	መንገዲ ላርአዩኻ ካባኻ ደይፈልጡ።
ጅግና ኣቦ ኢካ ንባዕሉ ዘይሓሊ	ጅግና ኣቦ ኢኻ ልባዕሉ ለይሓሊ	ጅግና ኣቦ የኻ ድባዕሉ ደይሓሊ
ንፅባሕ ዝጥምት ባዓል ብዙሕ ዓቕሊ	ናናጋ ልጥምት ባዓል ብዙሕ ዓቕሊ	ድነጋ ድጥምት ባዓል ብዙሕ ዓቕሊ
ጅግና ኣቦ ኢካ ግዜ ዘይሰነዖ	ጅግና ኣቦ ኢኻ ግዜ ለይሰነዖ	ጅግና ኣቦ የኻ ግዜ ደይሰነዖ
ሓሒካ መሚካ ንኩሉ ትረትዖ።	ሓሒኻ ሞሚኻ ልኹሉ ትረትዖ።	ሓሒኻ መሚኻ ድኹሉ ትረትዖ።
ኣብ መዘከርታይ ብዛዕባ ናይ ዝተዓዘብኩዎም ነገራት ዝተፅሓፈ ስዲ ፅሑፍ ምንባብ ቀፀልኩ።	ኣብ መዘከርታይ ብዛዕባ ና ልተዓዘብኹዎም ነገራት ልተፅሓፈ ስዲ ፅሑፍ ምንባብ ቐፀልኹ።	ኣብ መዘከርታይ ብዛዕባ ና ድተዓዘብኹዎም ነገራት ድትፅሓፈ ስዲ ፅሑፍ ምንባብ ቓፀልኹ።
መዓዝ ከም ዝፃሓፍኩዎ አይዝክሮን፡፡	ማኣዘ ሃም ልፃሓፍኹዎ የስታውሶይ፡፡	ማኣዘ ሃም ድፃሓፍኹዎ አይዝክሮይ፡፡
“ብዛዕባ…ምምሃር…ሓሳብ ከቕምጥ ዝገበረኒ ኣብ ከተማ ዝገጠመኒ ኣጋጣሚ እዩ፤” ዝብል ስዲ-ፅሑፍ ምንባብ ቀፅልኩ…	“ብዛዕባ…ምምሃር…ሓሳብ ከቕምጥ ልገበረኒ ኣብ ከተማ ልገጠመኒ ኣጋጣሚ እዩ፤” ልብል ስዲ-ፅሑፍ ምንባብ ቐፅልኹ…	“ብዛዕባ…ምምሃር…ሓሳብ ካቕምጥ ድገበረኒ ኣብ ከተማ ድገጠመኒ ኣጋጣሚ ይኡ ፤” ድብል ስዲ-ፅሑፍ ምንባብ ቐፅልኹ…።
ምምሃር ፅቡቕ እዩ።	ምምሃር ፅቡቕ እዩ።	ምምሃር ፅቡቕ ይኡ ።
ካብ ዓንዛር ደንቆሮ ሰብ ዝወፅኡ ካብ “ሕማም ኩርምቲ” ንላዕሊ ዘሕምሙ ቃላት...ብሓደ ዝተምሃረ ሰብ ኣንደበት ይዕበስ።	ካብ ዓንዛር ደንቆሮ ሰብ ልወፅኡ ካብ “ሕማም ኹርምቲ” ብላዕሊ ለሕምሙ ቃላት...ብሓደ ልተምሃረ ሰብ ኣንደበት ይዕበስ።	ካ ዓንዛር ደንቆሮ ሰብ ድወፅኡ ካ “ሕማም ኹርምቲ” ብላዕሊ ዳሕምሙ ቃላት...ብሓደ ድተምሃረ ሰብ ኣንደበት ይዕበስ።
ምምሃር ፅቡቕ እዩ።	ምምሃር ፅቡቕ እዩ።	ምምሃር ፅቡቕ ይኡ ።
ምምሃር ለውጢ እዩ፤ ብደመወዝ ከይኮነስ ብኣራኣእያ፣ ብምስትውዓል።	ምምሃር ለውጢ እዩ፤ ብደመወዝ ተይኾነስ ብኣራኣእያ፣ ብምስትውዓል።	ምምሃር ለውጢ ይኡ ፤ ብደመወዝ ተደይኾነስ ብኣረኣእያ፣ ብምስትውዓል።
ዝተምሃረ ሰብ ፈራሕ እዩ።	ልተምሃረ ሰብ ፈራሕ እዩ።	ድተምሃረ ሰብ ፈራሕ ይኡ ።
ንምንታይ?	ልምንታይ?	ድምንታይ?
ስለዘስተውዕል፣ ስለዘመዛዝን፣ ምስ ሕልንኡ ስለዝበኣስ።	ስለለስተውዕል፣ ስለለመዛዝን፣ ምስ ሕልንኡ ስለልበኣስ።	ስለዳስተውዕል፣ ስለዳመዛዝን፣ ምስ ሕልንኡ ስለድበኣስ።
ጥዑይ ትምኒት ዘለዎ ዝተምሃረ ሰብ ከምዙይ ይብል፤ “A legitimate ambition says I can change myself not at the expense of others but by giving service to others. Jim Rohn, ‘the Power of Ambition’” ዝተምሃረ ይቕተልካ።	ጥዑይ ትምኒት ለለዎ ልተምሃረ ሰብ ሃምዙይ ይብል፤ “A legitimate ambition says I can change myself not at the expense of others but by giving service to others. Jim Rohn, ‘the Power of Ambition’” ልተምሃረ ይቕተልኻ።	ጥዑይ ትምኒት ድንሀዎ ድተምሃረ ሰብ ሃምዙይ ይብል፤ “A legitimate ambition says I can change myself not at the expense of others but by giving service to others. Jim Rohn, ‘the Power of Ambition’” ድተምሃረ ይቕተልኻ።
ምስላኡስ ከምዚይ እንድዩ…/ለባምስያ የእትይካሞ ይፍታሕካ/።	ምስልኡስ ሃምዙይ ዳኣኾነይ…/ለባምስያ የእትይኻሞ ይፍታሕኻ/።	ምስልኡስ ሃምዙይ ዳኣኾነይ…/ለባምስያ የእትይኻሞ ይፍታሕኻ/።
ምምሃር እንታይ እዩ?	ምምሃር ታይ እዩ?	ምምሃር ታይኡ?
ዲፕሎማ?	ዲፕሎማ?	ዲፕሎማ?
ድግሪ?	ድግሪ?	ድግሪ?
ማስተርስ?	ማስተርስ?	ማስተርስ?
ንምንፅፃር ምእንቲ ክጥዕም ብደንቆሮ ዓንዛር ማሃይም ሰብ ክጅምር!	ልምንፅፃር ምእንቲ ክጥዕም ብደንቆሮ ዓንዛር ማሃይም ሰብ ክጅምር!	ድምንፅፃር ምእንቲ ክጥዕም ብደንቆሮ ዓንዛር ማሃይም ሰብ ክጅምር!
ወዲ እንኡ…መተዓቢቱ…ሓደ ዓይነት ኣየር ሓደ ዓይነት ማይ ሰትዩ ዝዓበየ ወገኑ …ብኮንተይነር ፅዒኑ ገንዘብ ከግኒ ባሕሪ ከሳግር ናይሰብ ሂወት ዘሕልፍ፣ ገባሪ ሰናይ ዝመደቦ ናይደኽታማት ቅርሺ ካብ ኣፎም እናመንገገ ዝበልዕ፣…እንታይ ይባሃል?	ወዲ እንኡ…መተዓቢቱ…ሓደ ዓይነት ኣየር ሓደ ዓይነት ማይ ሰትዩ ልዓበየ ወገኑ …ብኮንተይነር ፅዒኑ ገንዘብ ከግኒ ባሕሪ ከሻግር ናሰብ ሂወት ለሕልፍ፣ ገባሪ ሰናይ ልመደቦ ናደኽታማት ቕርሺ ካብ ኣፎም ላመንገገ ልበልዕ፣…ታይ ይባሃል?	ወዲ እንኡ…መተዓቢቱ…ሓደ ዓይነት ኣየር ሓደ ዓይነት ማይ ሰትይኡ ድዓበየ ወገኑ …ብኮንተይነር ፅዒኑ ገንዘብ ካግኒ ባሕሪ ካሻግር ናሰብ ሂወት ደሕልፍ፣ ገባሪ ሰናይ ድመደቦ ናደኽታማት ቕርሺ ካ ኣፎም ዳመንገገ ድበልዕ፣…ታይባሃል?
ርእሲ ግላዕ!	ርእሲ ግላዕ!	ርእሲ ግላዕ!
“ዘይምምሃር ደፋር ይገብረካ!”	“ለይምምሃር ደፋር ይገብረካ!”	“ደይምምሃር ደፋር ይገብረካ!”
ኣብ ልዕሊ ሃፍቲ ሃፍቲ ክውስኽ…ኣብ ልዕሊ መኪና መኪና ክውስኽ…ክንዲ ቁንጣር ምግቢ ሸይጡ ብዙሕ ከግኒ ዝደሊ ሃርጋፍ ነጋዲ…ግዚኡ ዝሓለፎ ምግቢ ዝሸጥ…እንታይ ይባሃል?	ኣብ ልዕሊ ሃፍቲ ሃፍቲ ክውስኽ…ኣብ ልዕሊ መኪና መኪና ክውስኽ…ህንድ ቑንጣር ምግቢ ሸይጡ ብዙሕ ከግኒ ልደሊ ሃርጋፍ ነጋዲ…ግዚኡ ልሓለፎ ምግቢ ልሸጥ…ታይ ይባሃል?	ኣብ ልዕሊ ሃፍቲ ሃፍቲ ክውስኽ…ኣብ ልዕሊ መኪና መኪና ክውስኽ…ህንድ ቑንጣር ምግቢ ሸይጡ ብዙሕ ካግኒ ድደሊ ሃርጋፍ ነጋዲ…ግዚኡ ድሓለፎ ምግቢ ድሸጥ…ታይባሃል?
ርእሲ ግላዕ!	ርእሲ ግላዕ!	ርእሲ ግላዕ!
“ዝሓለፈሉስ እስትንፋስ የሕልፍ!”	“ልሓለፈሉስ እስትንፋስ የሕልፍ!”	“ድሓለፈሉስ እስትንፋስ የሕልፍ!”
ከምቱ “ዳዊት” ብዙሓት ኣንስቲ እናሃለውኦ ን“ኦርዮን” ሓንቲ ፍረ ሰበይቱ ዝመንጠሎ…500ካሬ 1000ካሬ ብሰበይቱ ሽም፣ ብደቁ ሽም፣ ብባዕሉ ሽም እናሃለዎ ናይሓደ ምስኪን ድኻ 140ካሬ ክምንጥል ፎቆዶ ሰበ ስልጣን…ፎቆዶ ፍርድ ቤት ሕምብቲት እናበለ ዝውዕል፤ ብስልጣኑ መሬት እናሸንሸነ ሕሶት እናወሰነ ዝውዕል፤ ገባሪ ሓዳጊ ኮይኑ ክሳብ ሓዳር ምፍታሕ ዝበፅሕ በታኒ ሓዳር…እንታይ ይባሃል?	ሃምቱ “ዳዊት” ብዙሓት ኣንሽቲ ላሃለወኦ ል“ኦርዮን” ሓንቲ ፍረ ሰበይቱ ልመንጠሎ…500ካሬ 1000ካሬ ብሰበይቱ ስም፣ ብደቁ ስም፣ ብባዕሉ ስም ላሃለዎ ናሓደ ምስኪን ድኻ 140ካሬ ክምንጥል ፎቖዶ ሰበ ስልጣን…ፎቖዶ ፍርድ ቤት ሕምብቲት ላበለ ልውዕል፤ ብስልጣኑ መሬት ላሸንሸነ ሕሾት ላወሰነ ልውዕል፤ ገባሪ ሓዳጊ ኾይኑ እስካብ ሓዳር ምፍታሕ ልበፅሕ በታኒ ሓዳር…ታይ ይባሃል?	ሃምቲ “ዳዊት” ብዙሓት ኣንሽቲ ትንሀውኦ ድ“ኦርዮን” ሓንቲ ፍረ ሰበይቱ ድመንጠሎ…500ካሬ 1000ካሬ ብሰበይቱ ስም፣ ብደቁ ስም፣ ብባዕሉ ስም ትንሀዎ ናሓደ ምስኪን ድኻ 140ካሬ ክምንጥል ፎቖዶ ሰበ ስልጣን…ፎቖዶ ፍርድ ቤት ሕምብቲት ዳበለ ድውዕል፤ ብስልጣኑ መሬት ዳሸንሸነ ሕሾት ዳወሰነ ድውዕል፤ ገባሪ ሓዳጊ ኾይኑ ክሻዕ ሓዳር ምፍታሕ ድበፅሕ በታኒ ሓዳር…ታይባሃል?
ርእሲ ግላዕ!	ርእሲ ግላዕ!	ርእሲ ግላዕ!
“ሓፂርያ እንተንቃዕረረስ ዝነወሐ ይመስሎ”	“ሓፂርያ ተንቃዕረረስ ልነወሐ ይመስሎ”	“ሓጭርያ ተንቃዕረረስ ድነወሐ ይመስሎ”
ኣብ ርእሲ ሰበይቲ ሰበይቲ፣…ኣብ ርእሲ ቆልዓ ናይደገ ቆልዓ፣…ኣብ ክሕደት ጥልመት፣…ቅርሹ ፎቆዶ እንዳ መስተ እናበተነ መንፈሱ ብቅርሺ ዝተመለአ፣…ሰላም ዝራሓቆ፣…ንወገኑ ዘይሓስብ ሓሳዊ ኢንቨስተር…እንታይ ይባሃል?	ኣብ ርእሲ ሰበይቲ ሰበይቲ፣…ኣብ ርእሲ ቖልዓ ናደገ ቖልዓ፣…ኣብ ኽሕደት ጥልመት፣…ቕርሹ ፎቖዶ ዳ መስተ ላበተነ መንፈሱ ብቕርሺ ልተመለአ፣…ሰላም ልራሓቖ፣…ልወገኑ ለይሓስብ ሓሻዊ ኢንቨስተር…ታይ ይባሃል?	ኣብ ርእሲ ሰበይቲ ሰበይቲ፣…ኣብ ርእሲ ቖልዓ ናደገ ቖልዓ፣…ኣብ ኽሕደት ጥልመት፣…ቕርሹ ፎቖዶ ዳ መስተ ዳበተነ መንፈሱ ብቕርሺ ድተመለአ፣…ሰላም ድራሓቖ፣…ድወገኑ ደይሓስብ ሓሻዊ ኢንቨስተር…ታይባሃል?
ርእሲ ግላዕ!	ርእሲ ግላዕ!	ርእሲ ግላዕ!
“ሓጥያትን ቅርሽን ተጠራቃሚ እዩ”	“ሓጥያትይ ቕርሽይ ተጠራቓሚ እዩ”	“ሓጥያትይ ቕርሽይ ትጣራቓሚ ይኡ”
ሃይማኖት ምስ ሃይማኖት፣ ኣማኒ ምስ ኣማኒ፣…ሓደ ዘርኢ ምስ ካሊእ ዘርኢ እናጋጨየ…በጊዕ መሲሉ ተኹላ ዝኾነ ቁርዲድ ሰብ፣ ሓደ ብሄር ምስ ካሊእ ብሄር ታሪኽ እናጣመመ ዘናኽስ፣ ሃገር ሰላም እናሃለየ ኣብ ራዕዲ ኣብ ህውከት ኣብ ራብሻ ከም ዘላ ኣምሲሉ ናይ የዋሃት መንፈስ ዝርብሽ፣ ብሕማቕ ስርሑ ካብ ሃገሩ ኣምሊጡ ዝኸደ መምለሲ ዝስኣነ ሳክታም ዲያስፖራ…እንታይ ይባሃል?	ሃይማኖት ምስ ሃይማኖት፣ ኣማኒ ምስ ኣማኒ፣…ሓደ ዘርኢ ምስ ኻሊእ ዘርኢ ላጋጨየ…በጊዕ መሲሉ ተኹላ ልኾነ ቑርዲድ ሰብ፣ ሓደ ብሄር ምስ ኻሊእ ብሄር ታሪኽ ላጣመመ ለናኽስ፣ ሃገር ሰላም ላሃለየ ኣብ ራዕዲ ኣብ ህውከት ኣብ ራብሻ ሃም ለላ ኣምሲሉ ናለዋሃት መንፈስ ልርብሽ፣ ብሕማቕ ስርሑ ካብ ሃገሩ ኣምሊጡ ልኸደ መምለሲ ልሳኣነ ሳክታም ዲያስፖራ…ታይ ይባሃል?	ሃይማኖት ምስ ሃይማኖት፣ ኣማኒ ምስ ኣማኒ፣…ሓደ ዘርኢ ምስ ኻልእ ዘርኢ ዳጋጨየ…በግዕ መስሉ ተኹላ ድኾነ ቑርዲድ ሰብ፣ ሓደ ብሄር ምስ ኻልእ ብሄር ታሪኽ ዳጣመመ ደናኽስ፣ ሃገር ሰላም ትንሆ ኣብ ራዕዲ ኣብ ህውከት ኣብ ራብሻ ሃም ድንሃ ኣምሲሉ ናለዋሃት መንፈስ ድርብሽ፣ ብሕማቕ ስራሑ ካ ሃገሩ ኣምልጡ ድኸደ መምለሲ ድሳኣነ ሳክታም ዲያስፖራ…ታይባሃል?
ርእሲ ግላዕ!	ርእሲ ግላዕ!	ርእሲ ግላዕ!
“ኳሓሎ መሲለንስ መንቆሮ”	“ዃሓሎ መሲለንስ መንቆሮ”	“ኳሓሎ መስለንስ መንቆሮ”
ፎቆዶ እንዳ-ዛርቲ፣ ፎቆዶ እንዳ-ጠንቋሊ፣ ፎቆዶ እንዳ ጡሽ እናዓጠኑ ሰብ ዘፍዝዙ፣ ፎቆዶ እንዳ ደፍተራ፣ ፎቆዶ እንዳ ዛር፣ ፎቆዶ እንዳ-ኣውልያ እናወዓለ ሂወቱ ዘተቐዘፈ መንፈሱ ዝተድሃሎ …እንታይ ይባሃል?	ፎቖዶ ዳ-ዛርቲ፣ ፎቖዶ ዳ-ጠንቋሊ፣ ፎቖዶ ዳ ጡሽ ላዓጠኑ ሰብ ለፍዝዙ፣ ፎቖዶ ዳ ደፍተራ፣ ፎቖዶ ዳ ዛር፣ ፎቖዶ ዳ-ኣውልያ ላወዓለ ሂወቱ ልተቐዘፈ መንፈሱ ልተድሃሎ …ታይ ይባሃል?	ፎቖዶ ዳ-ዛርቲ፣ ፎቖዶ ዳ-ጠንቋሊ፣ ፎቖዶ ዳ ጡሽ ላዓጠኑ ሰብ ደፍዝዙ፣ ፎቖዶ ዳ ደፍተራ፣ ፎቖዶ ዳ ዛር፣ ፎቖዶ ዳ-ኣውልያ ዳወዓለ ሂወቱ ድትቐዘፈ መንፈሱ ድተድሃሎ …ታይባሃል?
ዕድመኻ ትሕፀር!	ዕድመኻ ትሕፀር!	ዕድመኻ ትሕፀር!
“ዘይወግሕያ መሲሉዋስ ኣብ ቦኽራ ትሓርእ”	“ለይወግሕያ መሲሉዋስ ኣብ ቦኽራ ትሓርእ”	“ደይወግሕያ መሲሉዋስ ኣብ ቦኽራ ትሓርእ”
ናይሃፍታም ፍቕሪ ናይድኻ ቀብሪ ከይበለ፤ ብላይ ክዳኑ ፅሩይ ክዳኑ ከይበለ፤ ሰብ ብመንደር ብዓዲ ከይፈለየ፣…ሓመቐ-ፀበቐ ሓፀረ-ነወሐ ፈረየ-ደቐቐ ከይበለ ሰብ ዝፎቲ ሰብ…እንታይ ይባሃል?	ናሃፍታም ፍቕሪ ናድኻ ቐብሪ ተይበለ፤ ብላይ ኽዳኑ ፅሩይ ኽዳኑ ተይበለ፤ ሰብ ብመንደር ብዓዲ ተይፈለየ፣…ሓመቐ-ፀበቐ ሓፀረ-ነወሐ ፈረየ-ደቐቐ ተይበለ ሰብ ልፎቲ ሰብ…ታይ ይባሃል?	ናሃፍታም ፍቕሪ ናድኻ ቐብሪ ተደይበለ፤ ብላይ ኽዳኑ ፅሩይ ኽዳኑ ተደይበለ፤ ሰብ ብመንደር ብዓዲ ተደይፈለየ፣…ሓመቐ-ፀበቐ ሓፀረ-ነወሐ ፈረየ-ደቐቐ ተደይበለ ሰብ ድፎቲ ሰብ…ታይባሃል?
ምሁር ወዲ ዓበይቲ!	ምሁር ወዲ ዓበይቲ!	ምሁር ወዲ ዓበይቲ!
ኣለቂሑ ዘየጨንቀካ፤ ብናብራኻ ዘይግምተካ፤ ፀገምካ ዝርዳእ፤ ቃላት መሪፁ ዝዛረብ፤ ሙዕ ዘይዛረብ ሰብ…እንታይ ይባሃል?	ኣለቂሑ ለየጨንቐካ፤ ብናብራኻ ለይግምተካ፤ ሽግርኻ ልርዳእ፤ ቃላት መሪፁ ልናገር፤ ሙዕ ለይናገር ሰብ…ታይ ይባሃል?	ኣለቂሑ ደየጨንቐካ፤ ብናብራኻ ደይግምተካ፤ ሽግርኻ ድርዳእ፤ ቃላት መሪፁ ድናገር፤ ሙዕ ደይናገር ሰብ…ታይባሃል?
